age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
20,1,243178,11,9,4,5,3,4,1,0,0,40,38
32,2,106437,11,9,5,0,4,4,0,0,0,40,38
30,2,151967,15,10,2,2,0,4,1,0,0,58,38
40,4,154076,7,12,2,3,0,4,1,0,0,60,38
45,5,130206,11,9,0,0,2,4,0,0,0,40,38
35,0,133935,9,13,2,2,0,4,1,0,0,40,38
18,2,183824,2,8,4,7,3,4,1,0,0,30,38
22,2,308205,4,3,4,4,2,4,1,0,0,40,25
19,2,121074,5,4,2,2,0,4,1,0,0,99,38
49,2,218357,8,11,0,9,1,4,0,0,0,38,38
33,4,427474,11,9,2,11,0,4,1,0,0,60,38
24,2,285457,11,9,4,7,1,4,1,0,0,40,38
56,5,274111,12,14,0,9,1,4,1,0,1669,40,38
41,2,406603,11,9,4,7,1,4,1,0,0,6,19
20,2,116375,6,5,4,11,3,4,0,0,0,40,38
54,4,52634,15,10,2,11,0,4,1,0,0,40,38
23,2,213719,7,12,4,11,3,2,0,0,0,36,38
35,2,298635,9,13,4,11,1,1,1,0,0,50,38
21,2,232591,11,9,4,0,3,4,1,0,0,40,38
25,2,218136,15,10,4,5,1,2,1,0,0,40,27
41,2,237452,9,13,2,9,5,4,0,0,0,15,4
35,4,157473,11,9,2,2,0,4,1,0,0,40,38
64,4,253296,11,9,6,7,2,4,0,0,0,40,38
35,2,283305,9,13,4,3,1,4,0,0,0,40,38
34,2,265807,11,9,2,13,0,4,1,0,2051,55,38
29,2,193260,9,13,2,2,2,1,1,0,0,30,18
39,2,216149,14,15,0,9,1,4,1,0,0,70,38
39,3,126675,15,10,2,9,0,4,1,0,0,25,38
39,2,333305,15,10,2,11,5,4,0,0,0,45,38
47,2,21906,12,14,4,9,1,4,0,0,0,25,38
32,2,192039,8,11,2,9,5,4,0,0,0,40,38
18,2,101795,0,6,4,5,3,4,1,0,0,40,38
24,1,126613,9,13,4,9,3,4,0,0,0,20,38
45,2,26522,15,10,2,0,5,4,0,0,1902,35,38
48,1,187969,12,14,0,9,4,4,0,0,0,80,38
55,1,219775,11,9,0,7,4,4,0,0,0,38,38
29,5,118520,11,9,2,10,0,4,1,0,0,42,38
37,2,233571,8,11,2,12,5,4,0,0,0,37,38
36,2,356838,10,16,2,9,0,4,1,0,0,50,1
59,2,322691,12,14,2,9,0,4,1,0,0,50,38
35,2,341102,6,5,4,5,1,2,1,0,0,40,38
38,2,160808,11,9,2,2,0,2,1,4386,0,48,38
53,1,215990,15,10,2,7,0,4,1,0,0,35,38
20,2,342599,15,10,4,5,3,4,1,0,0,35,38
57,2,98350,14,15,2,2,0,1,1,0,1902,40,29
56,2,136413,3,2,2,2,0,4,1,0,0,40,38
51,0,293196,15,10,2,9,0,4,1,0,0,40,38
35,2,38245,15,10,2,2,0,4,1,0,0,60,38
54,2,182854,11,9,2,2,0,4,1,0,0,45,38
36,2,209993,3,2,6,7,2,4,0,0,0,20,25
41,2,175642,15,10,4,2,1,4,0,0,0,40,38
46,1,146497,11,9,0,9,1,4,0,0,0,40,38
20,4,211466,11,9,4,13,3,4,1,0,0,80,38
64,4,36960,11,9,2,4,0,4,1,0,0,40,38
50,2,167886,15,10,2,11,0,4,1,0,0,40,38
43,2,120277,11,9,2,2,0,4,1,0,0,40,38
52,4,194791,15,10,2,2,0,4,1,0,0,40,38
25,2,164488,15,10,4,5,3,4,1,0,0,40,38
51,4,111939,11,9,2,13,0,4,1,0,0,35,38
41,2,49156,11,9,2,2,0,4,1,0,0,40,38
49,2,543922,11,9,2,2,0,4,1,0,0,42,38
22,4,32921,15,10,4,4,3,4,1,0,0,20,38
46,1,121124,9,13,2,10,0,4,1,15024,0,40,38
38,2,177305,11,9,2,2,0,4,1,0,0,45,38
33,2,225507,0,6,4,7,3,4,0,0,0,25,38
37,2,34173,9,13,4,12,1,4,0,0,0,40,38
27,2,194243,14,15,4,9,3,4,0,0,0,40,38
33,4,167476,1,7,0,5,1,4,1,0,0,7,38
48,2,156926,9,13,0,0,1,4,1,0,0,40,38
37,2,305259,7,12,0,3,1,4,0,0,0,48,38
25,2,356017,1,7,4,7,1,4,1,0,0,99,38
53,0,177212,15,10,4,9,4,4,0,0,0,40,38
21,2,313702,15,10,4,11,1,4,1,0,0,40,38
27,2,37088,9,13,2,12,0,4,1,0,0,30,38
28,1,327533,11,9,2,10,0,4,1,3908,0,40,38
33,1,152351,15,10,2,10,0,4,1,3908,0,40,38
35,2,236910,9,13,2,3,0,4,1,0,0,60,38
25,2,181896,9,13,4,0,3,4,0,0,0,40,38
32,2,77634,1,7,2,0,0,4,1,0,0,45,38
20,5,37482,15,10,4,0,3,4,0,0,0,40,38
41,2,102332,11,9,0,11,4,2,0,0,0,40,38
24,2,165064,15,10,4,5,1,4,1,0,0,40,38
37,2,126569,12,14,2,3,0,4,1,0,1977,40,38
49,2,207677,5,4,0,2,1,4,1,0,0,70,38
17,2,231439,1,7,4,5,3,4,1,0,0,30,38
26,2,34803,11,9,4,3,1,4,0,0,0,40,38
48,2,101299,11,9,2,2,0,4,1,0,0,40,38
29,2,165360,8,11,4,0,1,4,0,0,0,40,38
69,1,660461,11,9,6,0,1,2,0,0,0,20,38
55,0,31965,15,10,2,0,0,4,1,0,0,40,38
51,2,254211,9,13,2,2,0,4,1,0,0,20,38
29,2,146719,11,9,4,13,1,4,0,0,0,45,38
29,4,58744,7,12,4,7,3,4,1,0,0,60,38
42,2,154374,9,13,2,11,0,4,1,0,0,40,38
32,2,108023,12,14,4,0,1,4,1,0,0,40,38
42,2,155469,7,12,6,12,4,4,0,0,0,24,38
37,2,176073,15,10,0,2,1,4,1,0,0,50,38
51,2,282549,11,9,2,6,0,2,1,3137,0,40,38
31,2,188246,12,14,2,9,0,4,1,0,0,50,38
28,2,269246,1,7,2,4,0,4,1,0,0,40,38
52,2,183611,3,2,2,4,0,4,1,0,0,40,38
27,2,193898,11,9,0,2,1,4,1,0,0,50,38
28,2,64307,5,4,2,2,0,4,1,0,0,40,38
19,2,231972,1,7,4,0,3,4,0,0,0,20,38
43,2,416338,9,13,4,11,1,4,1,0,0,50,38
53,2,106176,12,14,2,11,0,4,1,7298,0,60,38
29,2,151476,15,10,5,11,1,4,0,0,0,40,38
19,2,118352,15,10,4,7,3,4,0,0,0,16,38
35,2,207202,0,6,2,13,0,4,1,0,0,70,38
29,2,58115,9,13,2,11,0,4,1,0,0,41,38
27,2,167737,2,8,4,6,1,4,1,0,0,45,38
30,2,296509,5,4,5,4,1,4,1,0,0,45,25
37,4,82540,6,5,2,13,0,4,1,0,0,70,38
36,0,218542,7,12,2,0,5,4,0,0,0,40,38
31,2,191834,15,10,2,2,0,4,1,0,0,40,38
27,1,177072,15,10,4,9,2,4,1,0,0,16,38
31,2,120460,15,10,2,4,0,4,1,0,0,50,38
37,2,105044,15,10,2,3,0,4,1,0,0,42,38
57,0,30030,11,9,2,2,0,2,1,0,0,40,38
43,2,149909,11,9,2,2,0,4,1,0,0,42,38
35,2,30565,11,9,1,7,5,4,0,0,0,40,38
38,1,225605,15,10,2,9,0,4,1,0,0,44,38
36,2,91275,15,10,4,0,4,1,0,0,0,40,38
48,3,287647,10,16,2,9,0,4,1,7688,0,55,38
24,2,488541,15,10,4,7,4,2,0,0,0,35,38
25,2,171818,9,13,4,3,3,4,0,0,0,40,38
28,2,300915,11,9,2,13,0,4,1,0,0,60,38
25,2,282313,0,6,4,5,3,2,1,0,1602,40,38
38,4,65716,8,11,0,7,4,4,0,0,0,40,38
32,2,328199,8,11,0,3,4,4,0,0,0,40,38
43,1,180096,12,14,2,9,0,4,1,0,0,40,38
36,2,133569,3,2,4,4,1,4,1,0,0,40,25
26,2,28856,9,13,4,12,1,4,0,0,0,40,38
20,2,146706,15,10,2,11,2,4,0,0,0,30,38
56,2,112840,11,9,2,3,0,4,1,0,0,55,38
35,2,143589,9,13,3,9,1,1,0,0,0,40,29
41,1,190368,9,13,4,9,1,4,0,0,0,70,38
54,4,168723,11,9,2,11,0,4,1,0,0,40,38
23,2,190483,9,13,4,11,3,4,0,0,0,20,38
17,2,225106,0,6,4,7,3,4,0,0,1602,18,38
44,2,286750,9,13,2,3,0,2,1,0,0,50,38
38,2,60313,11,9,4,2,1,4,1,0,0,40,38
44,2,205706,11,9,4,3,1,4,0,0,0,40,38
35,2,133906,11,9,0,0,4,4,0,0,0,40,38
19,2,186159,15,10,4,11,1,4,0,0,0,40,38
23,2,208826,9,13,4,7,1,4,0,0,0,40,38
46,2,405309,11,9,2,3,0,4,1,0,0,40,38
54,2,256916,11,9,2,3,0,4,1,0,0,45,38
43,2,178780,7,12,2,3,0,4,1,0,0,45,38
33,4,196342,10,16,4,9,1,4,1,0,0,45,38
46,2,160647,9,13,6,12,4,4,0,0,0,38,38
44,4,70884,11,9,2,4,0,4,1,0,0,60,38
59,4,188003,9,13,6,9,1,4,0,0,0,50,38
36,1,318972,15,10,0,0,4,4,0,0,0,65,38
54,2,144586,15,10,2,11,5,4,0,0,0,40,38
50,1,24139,12,14,0,9,4,4,0,0,0,65,38
23,5,110128,15,10,4,7,3,4,1,0,0,40,38
37,2,154210,15,10,2,2,0,1,1,0,0,40,16
47,1,102628,15,10,2,7,0,4,1,0,0,40,38
28,2,153475,9,13,4,0,3,4,0,0,0,16,7
44,2,249332,11,9,2,13,0,4,1,0,0,40,6
56,2,192869,12,14,2,2,0,4,1,0,1977,44,38
21,2,187643,11,9,5,7,1,4,0,0,0,40,38
22,2,107801,8,11,4,0,3,4,0,0,0,40,38
23,2,162282,15,10,4,5,1,4,1,0,0,25,38
51,2,154342,12,14,2,9,0,4,1,7688,0,45,38
18,2,84253,1,7,4,7,3,4,0,0,0,24,38
40,2,229148,2,8,2,7,0,2,1,0,0,40,22
32,2,199416,9,13,2,9,0,4,1,0,0,40,38
24,2,55424,9,13,4,3,3,4,1,0,0,40,38
44,2,304530,15,10,0,2,1,4,1,0,0,55,38
60,1,204062,12,14,2,9,0,4,1,0,0,48,38
28,2,161607,15,10,2,13,0,4,1,0,0,45,38
43,2,119721,9,13,2,3,0,4,1,0,0,40,38
24,2,403865,15,10,2,2,0,4,1,0,0,56,38
52,5,189728,11,9,5,7,1,4,0,0,0,35,38
24,2,123983,1,7,2,13,0,1,1,0,0,40,39
49,1,110172,11,9,2,13,0,4,1,0,0,40,38
41,3,99212,11,9,5,3,4,4,1,0,0,40,38
23,2,218215,7,12,4,7,3,4,0,0,0,35,38
39,2,98948,7,12,4,11,1,4,0,0,0,40,38
19,2,250818,15,10,4,0,1,4,1,0,0,40,38
23,2,211678,15,10,4,6,1,4,1,0,0,40,38
29,2,228860,15,10,2,7,0,4,1,0,0,35,38
61,2,357437,11,9,2,7,0,4,1,0,0,40,38
80,2,173488,15,10,6,0,1,4,0,0,0,20,38
47,2,84790,15,10,2,2,0,4,1,0,0,40,38
49,2,185385,12,14,2,9,0,4,1,0,0,50,38
63,2,250068,2,8,2,11,0,4,1,0,0,40,38
30,2,98733,15,10,0,6,4,4,0,0,0,20,38
28,2,584790,8,11,2,7,0,4,1,0,0,40,38
46,2,189762,7,12,4,12,1,4,1,0,0,56,38
43,2,171888,15,10,0,0,1,4,0,0,0,40,38
32,5,213389,15,10,0,10,4,4,0,0,1726,38,38
39,2,67136,8,11,5,0,1,1,1,0,0,40,38
48,0,33109,9,13,0,3,4,4,1,0,0,58,38
51,2,143822,15,10,2,2,0,4,1,7298,0,40,38
18,2,183930,11,9,4,7,3,4,1,0,0,12,38
42,2,288154,15,10,2,2,0,4,1,0,0,89,38
30,2,151989,8,11,2,12,5,4,0,0,0,40,38
27,1,52156,15,10,2,10,0,4,1,0,0,60,38
56,2,33323,11,9,2,6,0,4,1,0,0,40,38
76,2,278938,9,13,6,9,1,4,0,0,0,20,38
36,2,293528,8,11,4,12,1,4,0,0,0,3,38
56,2,119859,15,10,0,13,1,4,1,0,0,40,38
18,2,240183,11,9,4,7,3,4,0,0,0,20,38
50,2,279337,9,13,0,3,1,4,1,0,0,55,38
38,2,73471,15,10,2,11,0,4,1,0,0,50,38
20,2,140764,15,10,4,7,3,4,0,0,0,20,38
40,2,47902,11,9,2,3,0,4,1,0,0,40,38
34,2,48014,9,13,5,3,1,4,0,0,0,35,38
49,1,59612,12,14,2,9,0,4,1,0,0,40,38
33,2,232475,15,10,4,11,3,4,1,0,0,45,38
32,2,210541,9,13,0,11,4,4,0,0,0,30,38
35,2,193026,9,13,2,11,0,4,1,0,0,45,38
49,2,209146,11,9,2,13,0,4,1,0,0,40,38
59,1,102442,9,13,2,9,5,4,0,0,0,45,38
32,2,381583,11,9,2,2,0,3,1,0,0,40,38
28,2,137898,11,9,2,6,5,4,0,0,0,40,38
23,2,386019,6,5,4,4,4,4,1,0,0,70,38
36,2,290560,15,10,2,3,0,4,1,0,0,45,38
24,2,200679,11,9,4,4,3,2,1,0,0,50,38
40,5,141583,15,10,0,0,4,2,0,0,0,35,38
70,2,642830,11,9,0,10,1,4,0,0,0,32,38
64,5,277657,11,9,6,0,1,4,0,0,0,24,38
36,2,280440,7,12,4,12,4,4,0,0,0,45,38
29,2,258862,9,13,4,2,1,4,0,0,0,45,38
35,2,325802,7,12,0,5,4,4,0,0,0,24,38
48,2,121124,15,10,2,7,0,4,1,0,0,40,38
38,2,160035,11,9,2,2,0,4,1,0,0,55,38
18,2,353358,15,10,4,7,3,4,1,0,0,16,38
54,2,185407,15,10,2,4,0,4,1,0,0,40,38
58,2,123436,9,13,2,3,0,4,1,7688,0,50,38
36,2,145576,12,14,2,0,0,4,1,0,1977,40,23
21,2,65038,11,9,4,6,3,4,1,0,0,40,38
42,2,247695,11,9,2,6,0,4,1,0,0,45,38
30,2,149427,6,5,4,2,3,4,1,0,0,45,38
46,4,277946,7,12,5,2,1,4,1,0,0,40,38
29,2,40083,10,16,4,9,1,4,1,0,0,40,1
35,2,65706,11,9,0,7,4,4,0,0,0,40,38
46,5,193047,9,13,2,9,0,4,1,0,0,37,38
30,2,149507,11,9,2,11,0,4,1,0,0,42,38
28,2,60374,11,9,2,7,3,4,0,0,0,35,38
31,2,241885,11,9,4,4,4,4,1,0,0,45,38
41,5,26892,9,13,4,0,1,4,1,0,0,40,38
41,2,143046,12,14,4,0,1,4,0,0,0,40,38
37,2,239171,11,9,2,2,0,4,1,0,0,40,38
45,2,165484,10,16,2,9,0,4,1,0,0,50,38
52,2,172165,0,6,0,7,2,4,0,0,0,25,38
27,1,247507,9,13,4,9,3,4,1,0,0,35,38
85,4,166027,11,9,6,11,1,4,0,0,0,50,38
35,2,164526,11,9,2,7,0,4,1,0,0,40,40
47,2,160474,11,9,2,3,5,4,0,0,0,30,38
22,2,94662,8,11,4,2,1,4,1,0,0,44,38
36,4,202950,9,13,2,3,0,4,1,0,0,50,19
45,2,109434,9,13,2,9,0,4,1,0,0,55,38
37,1,196529,12,14,2,9,5,4,0,0,0,45,38
20,2,181761,11,9,4,0,3,4,0,0,0,40,38
33,2,709798,9,13,2,9,0,4,1,0,0,60,38
57,0,197875,11,9,0,0,1,4,0,0,0,40,38
61,2,173924,6,5,0,5,1,4,1,0,0,40,32
35,2,149347,15,10,2,2,0,4,1,0,0,45,38
46,2,270693,11,9,4,5,3,4,1,3674,0,30,38
26,2,179010,15,10,4,2,1,4,1,0,0,65,38
38,5,34180,15,10,2,3,0,4,1,0,0,40,38
45,2,289468,1,7,6,7,4,4,0,0,0,40,38
21,2,417668,11,9,4,5,3,4,1,0,0,36,38
50,0,172046,15,10,2,3,0,4,1,0,0,40,38
53,2,198824,9,13,4,3,4,4,0,0,0,40,38
33,2,202642,9,13,5,9,2,2,0,0,0,40,22
20,2,203027,11,9,4,4,1,4,1,0,0,55,38
26,2,177147,11,9,4,5,3,4,1,0,0,40,38
21,2,315065,5,4,4,7,2,4,1,0,0,48,25
66,4,274451,6,5,2,4,0,4,1,0,0,25,38
40,2,275446,11,9,4,11,3,2,1,0,0,40,38
50,4,204402,11,9,2,4,0,4,1,0,0,84,38
28,1,84657,9,13,0,9,1,4,0,0,0,40,38
54,2,76344,9,13,4,7,1,4,0,0,0,50,38
41,2,349703,7,12,2,4,0,1,1,0,0,40,38
19,2,382738,11,9,4,7,3,2,0,0,0,40,38
29,2,228075,11,9,4,0,4,4,1,0,0,35,25
31,2,129804,6,5,4,4,1,4,1,0,0,40,32
44,2,89172,9,13,2,2,0,4,1,0,0,50,38
47,2,111961,11,9,2,7,5,2,0,0,0,30,38
34,2,184942,1,7,2,13,0,4,1,0,0,50,38
42,2,282964,9,13,0,3,4,4,0,0,0,40,38
34,2,248584,11,9,4,2,1,4,1,0,0,55,38
58,2,137547,9,13,2,7,0,1,1,0,0,40,34
51,1,241843,13,1,2,7,0,4,1,0,0,40,38
65,2,255386,11,9,4,2,2,1,1,0,0,40,0
37,2,32709,9,13,2,12,5,4,0,0,0,40,38
23,2,378460,15,10,4,9,3,4,1,0,0,20,38
20,2,219262,1,7,4,2,1,4,1,0,0,60,38
47,1,228372,12,14,2,9,0,4,1,0,0,48,38
54,2,35557,15,10,2,11,0,4,1,7298,0,50,38
24,2,333505,11,9,3,13,3,4,1,0,0,40,28
22,2,305498,11,9,0,11,3,4,0,0,0,33,38
49,1,126446,15,10,4,7,4,4,0,0,0,30,38
21,2,246207,15,10,4,0,3,2,0,0,0,20,38
42,2,173704,12,14,2,9,0,4,1,0,0,40,38
20,2,209131,15,10,4,6,3,4,1,0,0,40,38
21,2,312017,15,10,4,2,1,4,1,0,0,40,38
37,2,123785,11,9,4,7,1,4,1,0,0,75,38
47,2,114770,11,9,0,7,3,4,0,0,0,32,38
59,2,426001,11,9,3,0,4,4,0,0,0,20,32
25,2,123586,15,10,4,0,4,3,1,0,0,40,38
60,2,308608,11,9,2,11,0,4,1,0,0,50,38
35,2,56352,8,11,2,7,0,4,1,0,0,40,32
27,2,188189,15,10,4,12,1,4,0,0,0,30,38
33,2,146440,15,10,2,2,0,4,1,0,1740,40,38
23,2,27776,15,10,2,13,0,4,1,0,0,24,38
27,2,89813,11,9,4,5,3,4,0,0,0,40,38
27,2,131310,11,9,2,7,5,4,0,0,0,40,38
43,5,60949,11,9,2,2,0,4,1,0,0,40,38
27,2,85625,11,9,4,7,3,4,1,0,0,22,38
23,2,695136,11,9,4,5,1,4,1,0,0,30,38
36,2,197202,11,9,2,7,0,2,1,0,0,40,38
54,5,312897,10,16,2,9,0,4,1,0,0,46,8
33,2,23871,11,9,0,7,4,4,0,0,0,30,38
57,2,197642,15,10,6,7,1,4,0,0,0,40,38
33,2,323811,15,10,2,6,0,4,1,0,0,55,38
43,2,122473,6,5,4,6,4,2,0,0,625,40,38
22,0,57216,15,10,4,0,3,2,1,0,0,20,38
48,2,278039,5,4,2,6,0,4,1,0,0,40,38
20,2,299399,15,10,4,11,3,4,0,0,0,20,38
44,2,211759,9,13,2,3,0,3,1,0,0,40,32
40,1,303212,9,13,2,9,0,4,1,0,0,40,38
39,2,277886,9,13,2,11,5,4,0,0,0,30,38
28,2,259351,0,6,4,7,2,0,1,0,0,40,25
45,4,107231,9,13,0,9,1,4,1,0,0,45,9
